,Heading,Article,Date,Subjectivity,Polarity,Content Subjectivity,Content Polarity
50,"Former Nazi Guard, 101, Jailed In Germany For Aiding Murder","The man, only publicly identified as Josef S., was convicted of more than 3,500 counts of accessory to murder and sentenced to five years in prison Tuesday.",2022-06-28,0.0,0.0,0.5222222222222223,0.16666666666666666
51,Troop Morale A Concern As NATO Chief Warns Ukraine War Could Last ‘Years’,Britain’s defense ministry said both Russian and Ukrainian combat units are seeing desertions and units refusing to follow orders.,2022-06-19,0.06666666666666667,0.0,0.0,0.0
52,"As Ukraine Loses Troops, How Long Can It Keep Up The Fight?","“This is one of the critical moments in the war, but it is not the peak.""",2022-06-04,0.25,-0.175,0.8,0.0
53,Russian Soldier Sentenced To Life At Kyiv War Crimes Trial,"Earlier on his trip to Asia, Biden signed legislation granting Ukraine $40 billion more in U.S. support for its defense against the Russian attack.",2022-05-23,0.0,0.0,0.3333333333333333,0.16666666666666666
54,Slain Al Jazeera Journalist Was Icon Of Palestinian Coverage,"Israeli forces killed 51-year old Shireen Abu Akleh while she was wearing her press vest, according to Al Jazeera.",2022-05-12,0.0,0.0,0.1,-0.05
55,Finland's Leaders In Favor Of Applying For NATO Membership,The announcement paves the way for the alliance to expand amid Russia's war in Ukraine.,2022-05-12,0.0,0.0,0.0,0.0
56,Russia Pounds Odesa As 44 Civilian Bodies Uncovered Elsewhere In Ukraine,"The 44 bodies were found in a five-story building that collapsed in March in Izyum, about 75 miles from the city of Kharkiv, in Ukraine.",2022-05-10,0.0,0.0,0.0,0.0
57,"Shanghai Disinfects Homes, Closes All Subways Under China's 'Zero-COVID' Strategy","The latest steps have further frustrated residents, who were hoping a more than monthlong lockdown was finally easing.",2022-05-10,0.0,0.0,0.6199999999999999,0.06000000000000001
58,"Late Dictator's Son Wins Philippine Presidency, Unofficial Count Shows",The namesake son of late dictator Ferdinand Marcos appears to have won the presidency in a reversal of the 1986 “People Power” revolt that ousted his father.,2022-05-10,0.4,0.0,0.6,-0.3
59,No End In Sight For Ukraine War As Putin Hails Victory Day,"Putin falsely portrayed the fighting as a battle against Nazism, thereby linking the war to what many Russians regard as their finest hour: the triumph over Nazi Germany.",2022-05-09,0.0,0.0,0.55,0.04999999999999996
60,Dictator's Son Far Ahead Of Human Rights Activist In Philippine Presidential Vote,The son and namesake of Ferdinand Marcos has taken a commanding lead in an unofficial count in the deeply divided Asian democracy's election.,2022-05-09,0.55,0.05,0.2,0.0
61,Havana Hotel Death Toll Rises To 30 As Dogs Search For Survivors,Search crews are hunting through the ruins of the luxury hotel for survivors of an apparent gas explosion and officials have raised the number of known dead to 30.,2022-05-08,0.0,0.0,0.3166666666666667,-0.09999999999999999
62,Dozens Feared Dead After Russian Bomb Levels Ukraine School,"Russian forces, meanwhile, worked toward a full takeover of Mariupol, which has been largely reduced to rubble since the start of the war.",2022-05-08,0.2,-0.1,0.3261904761904762,0.1880952380952381
63,Beijing Loyalist John Lee Elected As Hong Kong's Next Leader,The election followed major changes to Hong Kong’s electoral laws last year to ensure that only “patriots” loyal to Beijing can hold office.,2022-05-08,0.0,0.0,0.6,0.09895833333333333
64,"As U.S. Poised To Restrict Abortion, Other Nations Ease Access","When the U.S. Supreme Court’s final decision is handed down, expected in late June or early July, the world will be watching.",2022-05-08,0.375,-0.125,0.5177777777777778,-0.09111111111111111
65,G7 Pledges To Phase Out Import Of Russian Oil,"Leaders from the Group of Seven developed democracies have pledged to phasing out or banning the import of Russian oil, as they met with Ukraine’s President Volodymyr Zelenskyy to stress their support.",2022-05-08,0.0,0.0,0.15,0.05
66,Last Stand For Mariupol As Ukraine Seeks To Stop Complete Russian Takeover Of Port City,The fight for the last Ukrainian stronghold in a city reduced to ruins by the Russian onslaught appears increasingly desperate.,2022-05-07,0.15555555555555556,0.03333333333333333,0.31666666666666665,-0.1875
67,Pro-Irish Unity Party Sinn Fein Celebrates Historic Northern Ireland Win,"A Sinn Fein victory could bring its goal of a united Ireland a step closer, though its campaign has focused more in immediate concerns like skyrocketing cost of living.",2022-05-07,0.2,0.4,0.5,0.5
68,LA Dodgers Owners To Buy Chelsea Soccer Club From Sanctioned Russian Oligarch,A consortium fronted by Todd Boehly will pay $3.1 billion to end Roman Abramovich’s ownership.,2022-05-07,0.0,0.0,0.0,0.0
69,Superyacht Reportedly Owned By Russian Oligarch Is Seized In Fiji,A judge in Fiji permitted U.S. authorities to seize the $325 million Amadea which they claim belongs to Suleiman Kerimov.,2022-05-06,0.0,0.0,0.0,0.0
70,Belarus Jails Girlfriend Of Dissident Who Was Seized After Forced Plane Landing,"Sofia Sapega, a Russian citizen, was detained last year after Belarusian authorities diverted a Ryanair flight to Minsk.",2022-05-06,0.2,-0.30000000000000004,0.03333333333333333,0.0
71,Defenders Inside Mariupol Steel Plant Refuse To Surrender To Russian Forces,President Vladimir Putin wants to present the Russian people with a battlefield triumph — or announce an escalation — in time for Victory Day on Monday.,2022-05-06,0.0,0.0,0.03333333333333333,0.06666666666666667
72,Israel Searches For Attackers Who Killed 3 In Mass Stabbing Near Tel Aviv,The stabbing comes as Israeli-Palestinian tensions were already heightened by violence at a major holy site in Jerusalem sacred to Jews and Muslims.,2022-05-06,0.4000000000000001,-0.23333333333333336,0.65,-0.26875
73,First Lady Jill Biden To Meet Ukrainian Refugees During Border Visit,The centerpiece of the first lady’s trip comes Sunday — Mother’s Day — when Biden meets with displaced Ukrainians who sought refuge across the border in Slovakia.,2022-05-06,0.3333333333333333,0.25,0.3333333333333333,0.25
74,Ukraine Repels Russian Attacks As Mariupol Steel Plant Battle Rages,"Belarus President Alexander Lukashenko said he hadn’t expected the Russian offensive to “drag on this way,” in an interview with The Associated Press.",2022-05-05,0.0,0.0,0.15694444444444444,-0.06666666666666667
75,Survivor Found Almost 6 Days After China Building Collapse,At least five people have died and possibly dozens remain missing following the disaster in the central Chinese city of Changsha.,2022-05-05,0.0,0.0,0.3,-0.08333333333333333
76,UN: Record Number Of People Without Enough To Eat In 2021,"Almost 193 million people in 53 countries suffered acute food insecurity in 2021 due to conflict, weather extremes and the economic effects of COVID.",2022-05-05,0.5,0.0,0.49166666666666664,0.225
77,UN Says Reproductive Health Is Condition For Equality Amid Global Women's Rights Pushback,"""Without the full participation of 50% of its population, the world would be the biggest loser,” said a spokesperson for U.N. Secretary-General António Guterres.",2022-05-04,0.0,0.0,0.55,0.35
78,"Russia Plans To Annex Much Of Eastern Ukraine, Senior U.S. Official Says","Such a move would not be recognized by the U.S. or its allies, Michael Carpenter, U.S. ambassador to the Organization for Security and Cooperation in Europe, said.",2022-05-03,0.2,0.2,0.5,0.0
79,"Spyware Attack Targeted The Phones Of Spain Prime Minister, Defense Minister",Spanish officials say the cellphones were infected last year with Pegasus spyware that is only available to government agencies.,2022-05-02,0.0,0.0,0.3666666666666667,0.1
80,First Civilians Leave Mariupol Steel Plant As Hundreds Remain,People fleeing besieged Mariupol described weeks of bombardments and deprivation as they arrived in Ukrainian-held territory.,2022-05-02,0.3333333333333333,0.25,0.0,0.0
81,Operation Underway To Evacuate Remaining Ukrainians In Mariupol,"People sheltering elsewhere in the city are to be allowed out on Monday, local officials said.",2022-05-01,0.0,0.0,0.0,0.0
82,"Ukraine Fights To Hold Off Russian Advances In South, East","Ukrainian forces are fighting to hold off Russian attempts to advance in the south and east, where the Kremlin is seeking to capture the industrial Donbas region.",2022-04-30,0.0,0.0,0.0,0.0
83,Putin Insists Olympic Skater Caught In Doping Scandal Didn’t Compete ‘Dishonestly’,"The Russian president defied reality on Kamila Valieva, whose drug case dominated this year’s Winter Olympics in Beijing.",2022-04-27,0.5,-0.3,0.0,0.0
84,Ukraine Town's Remaining Residents Watch As War Closes In: 'You Feel So Helpless',Even the sudden crackling of a plastic water bottle puts the residents of Toretsk on edge.,2022-04-26,0.0,0.0,0.5,0.0
85,Most Of Beijing To Be Tested For COVID-19 Amid Lockdown Worry,"While only 70 cases have been found since the outbreak surfaced, authorities have followed a “zero-COVID” approach to try to prevent a further spread of the virus.",2022-04-26,0.5,0.5,0.75,0.0
86,10 Found Dead After Japan Tour Boat Carrying 26 People Sinks,"The boat was sailing in an area known as a difficult place to maneuver boats, due to the rocky coastline and strong tide, when it sent a distress call on Saturday afternoon.",2022-04-24,0.2,-0.15000000000000002,0.7027777777777778,-0.0638888888888889
87,Volodymyr Zelenskyy Warns That Ukraine Is Just The Beginning For Russia,“The want to capture other countries. ... We are the first in line. Who will come next?” Zelenskyy asked in his daily address.,2022-04-24,0.0,0.0,0.17708333333333331,0.03125
88,Ukraine Official: Zelenskyy Meets Top-Level U.S. Delegation,An adviser to President Volodymyr Zelenskyy said the U.S. secretaries of state and defense were meeting in the highest-level visit to Kyiv by an American delegation.,2022-04-24,0.0,0.0,0.0,0.0
89,"Zelenskyy Says He's Meeting With US Officials Blinken, Austin",Ukraine’s president says he will meet Sunday in Kyiv with the U.S. secretary of state and secretary of defense.,2022-04-23,0.0,0.0,0.0,0.0
90,10 Missing After Underground Tremor At Coal Mine In Poland,A powerful tremor and methane gas discharge at a coal mine forced dozens to flee for safety.,2022-04-23,0.05,-0.2,0.6,-2.7755575615628914e-17
91,Emmanuel Macron's Lead Over Far-Right Marine Le Pen Depends On 1 Major Uncertainty,Macron is in pole position to win reelection Sunday in France's presidential runoff -- but the reported margin over his nationalist rival has a large room for error.,2022-04-23,0.5,0.0625,0.41428571428571426,0.5071428571428571
92,"Second Mass Grave Found Outside Mariupol, Says Ukraine","The city council shared a satellite photo showing what it said was a mass grave that could hold the bodies of at least 1,000 residents.",2022-04-23,0.025,0.0,0.4,-0.3
93,Leaders Of Rival Koreas Exchange Letters Amid Tensions,"The Koreas' rival leaders expressed hope for improved relations, which plummeted amid a freeze in nuclear negotiations and North Korea’s accelerating weapons development.",2022-04-22,0.0,0.0,0.0,0.0
94,Boris Johnson Offers 'Wholehearted Apology' Over 'Partygate',The British prime minister offered a ”wholehearted” apology for attending illegal party during lockdown.,2022-04-19,0.0,0.1,0.25,-0.25
95,"Russia Launches Fight For Industrial Heartland, Ukraine Says","Moscow has declared the capture of the Donbas to be its main goal in the war since its attempt to seize the capital, Kyiv, failed.",2022-04-19,0.0,0.0,0.31666666666666665,-0.16666666666666669
96,Ukrainian Defenders In Mariupol Defy Surrender-Or-Die Demand,"The relentless bombardment and street fighting in Mariupol have killed at least 21,000 people, by the Ukrainians' estimate.",2022-04-18,0.0,0.0,0.2,-0.25
97,Zelenskyy: Russian Offensive In Eastern Ukraine Has Begun,"“The Russian troops have begun the battle for the Donbas,” Ukrainian President Volodymyr Zelenskyy announced in a video address.",2022-04-18,0.0,0.0,0.0,0.0
98,"Pope Makes Easter Plea For Ukraine Peace, Cites Nuclear Risk",Pope Francis has made an Easter plea for peace in Ukraine and in other wars in the world.,2022-04-17,0.0,0.0,0.375,-0.125
99,Israeli Police Wound Palestinians Again Near Flashpoint Jerusalem Holy Site,"Palestinian medics say 17 people were injured after Israeli security entered the Al-Aqsa Mosque compound, just days after violently storming the site.",2022-04-17,0.4,0.1,1.0,-0.8
100,Ukrainian PM Says Mariupol ‘Still Has Not Fallen’ Despite Defying Deadline To Surrender,"""We will fight absolutely to the end,"" Prime Minister Denys Shmyhal said of the devastated port city after Ukrainian fighters refused to surrender to Russia.",2022-04-17,0.0,0.0,0.9,0.2
101,Volodymyr Zelenskyy Bashes Mariupol Devastation As 'Just Inhuman',"""Russia is deliberately trying to destroy everyone who is there in Mariupol,” the Ukrainian leader said in a virtual address.",2022-04-17,0.0,0.0,0.0,-0.2
102,"Russia Resumes Attacks On Kyiv, Missile Strikes Outdoor Market In Kharkiv","“Our air defense forces are doing everything they can to protect us, but the enemy is insidious and ruthless,"" Kyiv's mayor Vitali Klitschko said.",2022-04-16,0.0,0.0,1.0,-1.0
103,Volodymyr Zelenskyy Hails Ukrainians' Resolve 50 Days Into Russian Invasion,The Ukrainian leader said Ukrainians should be proud of having survived 50 days under Russian attack when the invaders “gave us a maximum of five.”,2022-04-15,0.0,0.0,0.5,0.4
104,"Clashes Erupt Between Israeli Police, Palestinians At Al-Aqsa Mosque",Medics said more than 150 Palestinians were wounded.,2022-04-15,0.0,0.0,0.5,0.5
105,Strict Coronavirus Shutdowns In China Continue As Infections Rise,"Access to Guangzhou, an industrial center of 19 million people near Hong Kong, was suspended this week.",2022-04-15,0.0,0.0,0.25,0.0
106,Team Ukraine Arrives Safely Ahead Of Prince Harry's Invictus Games: 'We Are Delighted',"For Team Ukraine, the journey to get to the games has been an unfathomable one after losing four Invictus community members to Russia's invasion of Ukraine.",2022-04-13,0.6,0.6,0.0,0.0
107,Joe Biden Approves $800 Million In New Military Aid For Ukraine,"As Russia prepares a major offensive in eastern Ukraine, the government in Kyiv says it needs more support from international partners in its efforts to resist.",2022-04-13,0.2772727272727273,0.018181818181818174,0.3333333333333333,0.1875
108,Russia Appoints New Ukraine War Commander With Record Of Brutality,"After its post-invasion setbacks, Russia appointed Gen. Alexander Dvornikov — who has a history of merciless attacks against Syrians, according to U.S. officials.",2022-04-10,0.45454545454545453,0.13636363636363635,1.0,-0.7
109,S&P Downgrade Indicates Russia Headed For Historic Default,"Russia has not defaulted on foreign debt since the Bolshevik Revolution in 1917, when the Soviet Union emerged.",2022-04-10,0.0,0.0,0.125,-0.125
110,War Crimes Watch: A Devastating Walk Through Bucha's Horror,"Walking through Bucha, The Associated Press spoke with two dozen witnesses of the Russian occupation.",2022-04-09,1.0,-1.0,0.0,0.0
111,"Russian Troops Killed, Sickened By Poisoned Food From Ukraine Residents, Say Officials","“Ukrainians resist the occupiers by all available means,” the Intelligence Directorate of Ukraine said of the poisonings, according to a translation.",2022-04-04,0.0,-0.1,0.4,0.4
112,Zelenskyy: ‘Mothers Of Russian Soldiers’ Should See Graphic Photos Out Of Kyiv Region,"The Ukrainian president responded to the gruesome photos coming out of cities like Bucha and Irpin, which show scores of brutalized civilians.",2022-04-03,0.2,0.0,1.0,-1.0
113,Ukraine Documents Alleged Atrocities By Retreating Russians,Authorities said Ukraine’s military has discovered indications of execution-style slayings to add to their case for prosecuting Russian officials for war crimes.,2022-04-03,0.1,-0.1,0.05,-0.05
114,Ukraine Says Russian Troops Are Looting Civilians' Homes On Their Way Out,"Russian forces are driving goods across the border from Kyiv's suburbs and selling the loot, authorities claim.",2022-04-02,0.0,0.0,0.0,0.0
115,Pope Francis Calls Putin's Invasion Of Ukraine 'Infantile And Destructive',The pope also condemned the European Union for turning away migrants.,2022-04-02,0.475,-0.5,0.0,0.0
116,Ukraine Woman's Account Sparks Investigation Into Sexual Violence By Russian Forces,"""Natalya"" detailed her alleged rape by two Russian soldiers in an interview with The Times of London.",2022-03-31,0.4166666666666667,0.25,0.2833333333333333,0.10000000000000002
117,"Biden On Putin: 'For God's Sake, This Man Cannot Remain In Power'",President Joe Biden visited Poland's capital on Saturday to speak with refugees who've been displaced amid Russia's attack on Ukraine.,2022-03-26,0.0,0.0,0.0,0.0
118,Half Of Ukraine's Children Displaced Amid Russian Invasion,"Some 4.3 million children in Ukraine have been displaced by the war, according to the United Nations.",2022-03-25,0.08333333333333333,-0.08333333333333333,0.0,0.0
119,"U.S., E.U. Announce New Partnership To Undercut Russian Energy",The White House announced the U.S. and other nations will increase liquified natural gas exports to Europe by 15 billion cubic meters in 2022.,2022-03-25,0.22727272727272727,0.06818181818181818,0.25833333333333336,-0.008333333333333331
120,"Biden To Visit Poland, A Complex Ally On Ukraine's Doorstep",The two-day visit starting Friday follows a trio of emergency war summits in Brussels.,2022-03-25,0.4,-0.3,0.1,0.0
121,Ukraine Says Russia Seized Relief Workers In Mariupol Convoy,"Ukrainian President Volodymyr Zelenskyy said about 100,000 civilians were still in Mariupol with no access to food and water.",2022-03-23,0.0,0.0,0.0,0.0
122,One of Two Black Boxes Found In China Eastern Plane Crash,The exterior of the black box recorder was so damaged that investigators could not immediately conclude whether it was the flight data recorder or the cockpit voice recorder.,2022-03-23,0.43333333333333335,-0.16666666666666666,0.43333333333333335,-0.16666666666666666
123,"Norway’s King Tests Positive For COVID, Has Mild Symptoms","The king's duties as Norway’s head of state are ceremonial, and he holds no political power.",2022-03-23,0.5227272727272727,0.2803030303030303,0.22499999999999998,0.025
124,Putin Critic Navalny Sentenced To 9 Years In Maximum Security Prison,"Alexei Navalny, who is already serving 2½ years for parole violations, was convicted of fraud and contempt of court.",2022-03-22,0.0,0.0,0.0,0.0
125,9 Million Children To Be Vaccinated Against Polio In Africa,The urgent vaccination campaign has started in Malawi where drops of the inoculation are being placed in the mouths of children across the country,2022-03-22,0.0,0.0,0.0,0.0
126,Ukraine Rejects Russian Demand For Surrender In Mariupol,"Fighting for Mariupol has continued to be intense, even as the Russian offensive has floundered in other areas.",2022-03-21,0.0,0.0,0.4583333333333333,0.025000000000000005
127,Clash Gives Blessing To Song Retooling For Gut-Wrenching Ukrainian Resistance Anthem,"""London Calling"" is transformed into ""Kyiv Calling"" by punk band Beton: ""Kyiv calling to the faraway towns. Kyiv calling to the whole world... Kyiv rising.""",2022-03-20,0.0,0.0,0.4,0.2
128,Russian Military Slog In Ukraine A ‘Dreadful Mess’ For Putin,"More than three weeks into his invasion of Ukraine, Russian President Vladimir Putin's initial aim of easily changing over the government in Ukraine is long gone.",2022-03-20,0.31875000000000003,-0.31875000000000003,0.3466666666666667,0.17666666666666667
