,Heading,Article,Date
21,"Meta, Parent Company Of Instagram, Fined $400 Million By Irish Regulators",The social media giant was fined for violations of data privacy laws related to information about children on Instagram.,2022-09-06
22,School Starts Today For Survivors Of Deadly Mass Shooting In Uvalde,There is new high fencing around the Texas community's public schools that still isn't finished and a heavy police patrol that many families don't trust.,2022-09-06
23,Bear Spotted Chilling In California Swimming Pool,"""He's welcome in my yard as long as he doesn't kill me or my family,"" the homeowner quipped.",2022-09-05
24,FEMA Director Says It's ‘Too Early’ To Tell When Jackson Will Have Clean Water Again,Residents of Mississippi's majority-Black capital still don't have clean water after rains worsened the existing infrastructure.,2022-09-04
25,Uvalde Children Grapple With Trauma After School Massacre,"Students who survived the May 24 shooting at Robb Elementary in Texas are spending the summer with a host of mental health issues, including PTSD.",2022-09-04
26,Emergency Declared As Flash Flooding Hits Northwest Georgia,"Thunderstorms and heavy rain pounded parts of northwest Georgia on Sunday, sparking flash flooding and dangerously high waters in some areas.",2022-09-04
27,Plane That Circled Mississippi Threatening To Crash Has Landed,"A pilot has been arrested after circling a small airplane over Tupelo, Mississippi, while threatening to crash into a Walmart store.",2022-09-03
28,9 Migrants Are Found Dead In Rio Grande: Border Patrol,"Tragic toll followed hazardous crossing by desperate dozens, said officials.",2022-09-03
29,Owner Of New England Frozen Yogurt Shops Accused Of Hiding Camera In Store Bathroom,Nashua police charged Chanphanou (Sab) Pou with three misdemeanor counts of violation of privacy. He could face up to one year in jail for each charge.,2022-09-02
30,"Tropical Storm Danielle Strengthens Into Hurricane, No Current Threat To Land",The storm — the first hurricane of an unusually quiet storm season — is centered about 885 miles west of the Azores.,2022-09-02
31,NASA Aims For Saturday Launch Of New Moon Rocket After Fixing Fuel Leaks,The inaugural flight of the 322-foot Artemis I rocket — the most powerful ever built by NASA — was delayed late in the countdown Monday.,2022-09-02
32,"U.S. Hiring Slowed In August As Employers Add 315,000 Jobs","The unemployment rate rose to 3.7%, from a half-century low of 3.5% in July, as more Americans came off the sidelines to look for jobs.",2022-09-02
33,Pregnant Woman Who Claimed Unborn Baby Was HOV Lane Passenger Receives Another Ticket,"Brandy Bottone had referred to Roe v. Wade and Texas' penal code, which identifies an unborn child as an individual, when she was first stopped for using the lane.",2022-09-01
34,Missing Louisiana Nun Found 'Alive And Safe' Months After Armed Home Raid,The nun was held by kidnappers for nearly five months following an armed raid of her Burkina Faso home.,2022-09-01
35,"A Ku Klux Klan Plaque Is Mounted At West Point's Science Center, Commission Finds",The plaque shows a hooded man holding a weapon.,2022-09-01
36,3 More R. Kelly Accusers Testify About His Abuse In Chicago Trial,"Prosecutors rested their case against the singer, who stands accused of producing child sexual abuse videos in his latest trial.",2022-08-31
37,A Nebraska Man Conducted An Active Shooter Drill. Employees Had No Idea.,A man hired to organize what looked like a mass shooting has been charged with multiple terrorism counts.,2022-08-28
38,"Uvalde Victims' Families, Survivors Plan Multi-Billion Dollar Lawsuit",The lawsuit looks to name law enforcement agencies and the shop where the accused shooter bought the gun used in the Uvalde shooting.,2022-08-24
39,Former Louisville Cop Pleads Guilty In Breonna Taylor Case,A former Louisville police detective who helped falsify the warrant that led to the deadly police raid at Taylor’s apartment has pleaded guilty to a federal charge.,2022-08-23
40,Hawaii Seeking End To Conflict Over Astronomy On Sacred Mountain,Native Hawaiians will now have more say over use of sacred Mauna Kea summit by scientists.,2022-08-21
41,Metal-Detecting Stranger Retrieves Woman’s Ring Lost In Sea,"Francesca Teal's plea for help on Facebook got the attention of a local man who spent more than two days searching the water with a wetsuit, headlamp and metal detector.",2022-08-21
42,Defense In Parkland School Shooter’s Trial Set To Present Its Case,Nikolas Cruz's attorneys on Monday will present why the 23-year-old carried out the attack and make a case for life in prison instead of death.,2022-08-21
43,"Dorli Rainey, Symbol Of Occupy Movement, Dies At 95","The Seattle activist turned out for racial justice, affordable housing and anti-war demonstrations over the years.",2022-08-20
44,Wendy's Pulls Lettuce From Sandwiches After Dozens Fall Sick From E. Coli,"The fast-food chain Wendy’s says it is pulling lettuce from sandwiches in its restaurants in Michigan, Ohio and Pennsylvania after people eating them there reported falling ill.",2022-08-20
45,Shocking Drone Video Shows Alligator Attacking Florida Man,The gator's bite was enough to crush a portion of the man's skull and break his jaw.,2022-08-19
46,"LGBTQ Pride Events Will Have Priority Access To Monkeypox Vaccines, Health Officials Say","An extra 50,000 vaccine doses will be made available in cities like Atlanta and New Orleans, where Pride celebrations are scheduled later this year.",2022-08-18
47,"General Motors Recalls Over 484,000 Vehicles Over 'Improperly'-Formed Seat Belts",The automaker said it isn't aware of any crashes or injuries as a result of the seat belts.,2022-08-17
48,"Former California Congressman Charged After 'Multiple Fraud Schemes,' Feds Say","Terrance ""T.J."" Cox, a Democrat, represented the 21st Congressional District from January 2019 to January 2021.",2022-08-17
49,Dog Catches Monkeypox In France In First Suspected Human-To-Pet Transmission,"“Our findings should prompt debate on the need to isolate pets from monkeypox virus-positive individuals,” researchers wrote.",2022-08-16
50,3 Injured In Shooting At Six Flags Great America Park Near Chicago,"Three people were hurt in a parking lot outside Six Flags Great America in Gurnee, Illinois when shots were fired from a vehicle,",2022-08-15
51,Jury Selection In R. Kelly Federal Trial To Begin In Chicago,The R&B singer faces charges that he rigged his 2008 state child pornography trial.,2022-08-15
52,Don't Look Up! A Possible Meteor Causes Loud 'Boom' Sound In Utah,The National Weather Service's Salt Lake City office wrote that it likely picked up the meteor's trail.,2022-08-14
53,Parents Arrested After Attempting To Grab Their Children During School Lockdown,Police reportedly used stun guns on at least two parents who arrived for their kids after reports of an armed man on a school campus.,2022-08-13
54,Suspect In Rushdie Stabbing Pleads Not Guilty As Author Remains Hospitalized,The suspect has been identified as 24-year-old New Jersey man Hadi Matar.,2022-08-13
55,"Polio Detected In NYC's Sewage, Suggesting Virus Circulating",Health officials say the virus that causes polio has been detected in New York City’s wastewater weeks after a case of polio was identified north of the city.,2022-08-12
56,"CDC Drops Some Quarantine, Screening Recommendations For COVID-19","So long, social distancing.",2022-08-11
57,U.S. Unemployment Claims Rise To Highest Level Since November,"Applications for jobless aid climbed by 14,000 to 262,000 and now have risen five out of the last six weeks, the Labor Department reported.",2022-08-11
58,Gas Prices Dip Just Below $4 For The First Time In 5 Months,"Falling prices for gas, airline tickets and clothes are giving consumers a bit of relief, although inflation is still close to a four-decade high.",2022-08-11
59,Ex-Twitter Staffer Convicted For Sharing Private Information On Dissidents With Saudis,Ahmad Abouammo received cash payments and gifts in return for providing information to the Saudis about accounts that were critical of the kingdom.,2022-08-10
60,Sesame Place To Train Workers On Diversity After Lawsuit,A Sesame Street-themed park has announced the implementation of diversity and inclusion training for its employees.,2022-08-10
61,Kobe Bryant Crash Photos Lawsuit To Be Heard By LA Jury,"Vanessa Bryant ""lives in fear that she or her children will one day confront horrific images of their loved ones online,"" the lawsuit says.",2022-08-10
62,3 Dead In Shooting At Florida Narcotics Anonymous Meeting,"A man went into the meeting and killed his ex-girlfriend and her friend before shooting himself, police say.",2022-08-09
63,L.A. Man Among 3 Killed In Lightning Strike Near White House,A 29-year-old Los Angeles bank executive was one of three people killed last week when lightning struck in a park across from the White House.,2022-08-07
64,Eastern Kentucky Braces For More Storms While Recovering From Extreme Flooding,The National Weather Service has extended a flood watch for areas of eastern Kentucky and said there’s a threat of thunderstorms in the region for much of the coming week.,2022-08-07
65,"5 Dead, 8 Injured In Fiery Los Angeles Crash After Speeding Car Runs Red Light","The multi-vehicle crash, which killed an infant, a pregnant woman and her unborn child, occurred near a gas station in the Windsor Hills neighborhood.",2022-08-05
66,FBI Arrests 4 Louisville Cops In Breonna Taylor Shooting Investigation,Officers were accused of using false information to obtain the search warrant that led to Taylor's killing.,2022-08-04
67,Sandy Hook Parent Testifies: Alex Jones’ Apologies ‘Are Worthless’,"In a defamation trial against Jones, Sandy Hook parent Neil Heslin said the Infowars conspiracist ""lit the match that started the fire.""",2022-08-02
68,Death Toll In Kentucky Hits 28 As Infrastructure Damage Hampers Flood Recovery,The number of deaths from massive flooding in Kentucky has continued to climb amid the threat for more heavy rains.,2022-07-31
69,New York City Declares Monkeypox A Public Health Emergency,"As many as 150,000 New York City residents could be at risk of monkeypox infection, according to city officials.",2022-07-31
70,Man Arrested For Alleged Bomb Threat Against Arizona Election Official After Jan. 6,"James W. Clark allegedly researched ""how to kill"" Katie Hobbs before threatening Arizona's Democratic secretary of state with an explosive device.",2022-07-30
71,Photos Reveal Ivana Trump's Final Resting Place At Bedminster Golf Course,"Her plot is near the first tee and clubhouse, The New York Post reports.",2022-07-30
72,'Covington Kid' Nicholas Sandmann Loses Defamation Suits Against Major Media Outlets,"Sandmann, who was 16 when footage of him and a Native American elder went viral, lost against several outlets including The New York Times and ABC News.",2022-07-29
73,Principal Of Texas School Where Shooting Happened Reinstated,The reinstatement came after Mandy Gutierrez disputed findings that a “culture of complacency” had developed at the Uvalde school.,2022-07-29
74,Infowars Sidekick Owen Shroyer Testifies In Alex Jones' Sandy Hook Defamation Trial,Shroyer peddled a false story on Infowars that Neil Heslin didn't hold his dead child after the massacre at Sandy Hook Elementary.,2022-07-28
75,2 Cops Sentenced For Violating George Floyd's Rights,"The federal government brought the civil rights charges against all four officers in May 2021, a month after Chauvin was convicted of murder and manslaughter in state court.",2022-07-27
76,Medical Students Walk Out On Ceremony Over Keynote Speaker Who Opposes Abortion Rights,"Video shows dozens of students at the University of Michigan protesting ​​Dr. Kristin Collier, who has referred to abortion care as ""violence.""",2022-07-26
77,Alex Jones' Sandy Hook Defamation Trial Is Set To Begin. Here's How It Got To This Point.,"For years, Jones and Infowars have falsely claimed the Sandy Hook shooting was fake. Jones will now face the consequences of those lies.",2022-07-24
78,6-Year-Old Girl Among 3 Family Members Shot In Tent At Iowa State Park,A 9-year-old boy who was camping at an Iowa state park with his parents and 6-year-old sister survived a shooting that killed the rest of his family.,2022-07-23
79,"New York Post, Wall Street Journal Editorial Boards Condemn Trump","Both publications, owned by Rupert Murdoch, slammed Trump's inaction during the Capitol riot.",2022-07-23
80,$5K Reward For Suspect In Shooting Of Lady Gaga’s Dog Walker,One of the men involved in the violent robbery was mistakenly released from custody in April and remains missing.,2022-07-20
81,Michael Baltimore Of '90 Day Fiancé' Added To Most Wanted List For Murder,"Baltimore allegedly fatally shot his former boss, Kendell Jerome Cook, at his Pennsylvania barbershop last year. He now graces the U.S. Marshals Service's Most Wanted list.",2022-07-19
82,Gunman Opens Fire Inside Comedy Club Moments Before Craig Robinson Set,"The gunman entered the North Carolina venue brandishing a firearm before opening fire, Charlotte police said. Robinson said he was in a greenroom when told to flee.",2022-07-17
83,School Board Member Says Black Principal's Activism 'Got Him Fired' From School,"A letter about racism by James Whitfield, the first Black principal at a mostly white Texas high school, led to him being placed on leave.",2022-07-17
84,Florida Official Tells Highway Trooper He Runs The County During Traffic Stop,Flagler County Commission Chairman Joe Mullins was pulled over twice for speeding last month.,2022-07-16
85,Woman Allegedly Posed As Nurse In Attempt To Steal Newborn Baby,"Jesenea Miron, 23, is accused of posing as a newly hired nurse and attempted to kidnap a newborn baby.",2022-07-16
86,Uber Sued By Women Alleging Sexual Assault By Drivers,The ride-hailing company is accused of knowing about the incidents since at least 2014 but failing to take adequate safety actions.,2022-07-14
87,Punk Band Responds After Former Oath Keeper Wears Its Shirt At Jan. 6 Hearing,"The shirt featured ""Milo,"" a cartoon on a number of album covers for the influential punk rock band The Descendents.",2022-07-13
88,NASA Releases More Images From Powerful Webb Space Telescope,Stars are born and stars die in a cosmic dance revealed in stunning images by the James Webb Space Telescope.,2022-07-12
89,"Ohio Tornado Displaces Hundreds Of Families, Leaves Thousands Without Power","The tornado wrought winds of up to 135 mph. Police and fire departments, as well as schools and hundreds of homes were damaged.",2022-07-07
90,Elon Musk Reportedly Had Twins Last Year With One Of His Company Execs,"It brings his total of known children to nine: triplets, two sets of twins and his two kids with musician Grimes.",2022-07-07
91,"Bradford Freeman, Last Survivor Of Famed 'Band Of Brothers' Army Unit, Dead At 97","Freeman parachuted into Normandy on D-Day, fought in Operation Market-Garden and was wounded in the Battle of the Bulge during World War II.",2022-07-06
92,"Pope Francis Condemns Abortions Again, Compares Them To 'Hiring A Hit Man'",This isn’t the first time the Bishop of Rome has compared the medical procedure to employing a professional assassin.,2022-07-04
93,Abortion Clinic Staff Grapple With Trauma Following The End Of Roe v. Wade,"Nationwide, workers at clinics that shuttered abortion services are feeling fear and stress following the Supreme Court's decision to overturn Roe v. Wade.",2022-07-04
94,Uvalde School Police Chief Pete Arredondo Resigns From City Council,Arredondo's resignation follows widespread condemnation over the police's fatally botched response to the mass shooting at Robb Elementary School,2022-07-02
95,2nd Tourist In 3 Days Gored By Bison At Yellowstone National Park,"In an earlier terrifying attack, a man intervened after a massive animal knocked down his child.",2022-07-02
96,"Gabby Petito's Family Can Sue Brian Laundrie's Parents, Judge Rules",The slain woman's parents accuse the Laundrie family of inflicting emotional distress by saying they didn't know their son had killed their daughter on a road trip.,2022-06-30
97,Meghan Markle Weighs In On Supreme Court's Decision To Overturn Roe,"""The consequences impact all of us,"" Meghan said. ""My husband and I talked about that a lot over the past few days. He’s a feminist, too.""",2022-06-29
98,"Police Are Harassing Mom Who Pulled Kids From Uvalde School Shooting, Lawyer Says",Angeli Rose Gomez criticized officers for not immediately entering Robb Elementary School as a gunman killed children and teachers.,2022-06-29
99,Deborah Birx Says Trump Officials Made Her Change COVID Data Sent To States,"“So I learned to put the things that there were issues with into the second part of a sentence,” Donald Trump's COVID coordinator told House members.",2022-06-24
100,So 'Happy': Pharrell Williams Pays Off Student Debt Of NAACP Youth Leaders,"""Pharrell forever changed their lives,"" said an NAACP official, who is now hoping President Biden will take action on student debt.",2022-06-19
101,"Uvalde, Texas, Police Didn't Attempt To Open Classroom Door: Report",The police response to the Texas school massacre is being probed in at least three investigations.,2022-06-19
102,CDC Recommends COVID-19 Shots For Children Under 5,"The shots will become available next week, expanding the nation’s vaccination campaign to children as young as 6 months.",2022-06-18
103,"Nerf Reveals Its New Mascot, And Its Monstrous Look Is Turning Heads","The mascot, named Murph, is the first for the foam toy maker.",2022-06-18
104,Kentucky Shatters Its Fatal Overdose Record; Fentanyl Blamed,The state’s rising death count mirrored the nation’s escalating overdose epidemic.,2022-06-14
105,Kim Jong Un Rallies Behind North Korea's Weapons Buildup,The leader defended weapons development as an exercise of sovereign rights to self-defense.,2022-06-12
106,Lost 'Giant Dog' Rolls Up To Dollar General Store And Refuses To Leave,"Bentley the dog ""spent a couple of hours browsing"" the aisles after breaking out of the gate at his home.",2022-06-11
107,Jeff Bridges Shares Powerful Lessons From Cancer And COVID-19 Bouts,"Bridges, who announced his lymphoma diagnosis in October 2020, also revealed he was diagnosed with COVID-19 during chemotherapy.",2022-06-11
108,Facebook Algorithm May Have Aided GOP Over Democratic Party Groups: Research,"One co-author of the study said he observed a ""weird pattern"" after collecting social media data.",2022-06-09
109,"Alaska's Unusual House Primary Draws Palin, Santa, 46 Others","Alaska voters are facing an election unlike any they’ve seen, with 48 candidates running to succeed Don Young, who held the state’s only U.S. House seat for 49 years.",2022-06-05
110,Police Dispatcher Fired After Allegedly Hanging Up On Store Employee During Buffalo Shooting,"An assistant manager at Tops Supermarket called police begging for help. A dispatcher allegedly told her to stop whispering, then hung up the phone.",2022-06-04
111,Uvalde Police Officer Was On Phone With Wife Before She Was Killed: Report,"Ruben Ruiz's reported final call with his wife, Eva Mireles, could potentially shed light on what authorities knew when they decided not to engage the Robb Elementary shooter.",2022-06-02
112,Michael Avenatti Sentenced To 4 Years For Defrauding Stormy Daniels,Michael Avenatti has been sentenced to four years in prison for cheating client Stormy Daniels of hundreds of thousands of dollars in book proceeds.,2022-06-02
113,Supreme Court Blocks Texas Law On Social Media Censorship,"The court voted in an unusual 5-4 alignment Tuesday to put the Texas law on hold, while a lawsuit plays out in lower courts.",2022-05-31
114,"Uvalde's Next Steps: Visitations, Funerals And Burials, One After Another","Over the next two-and-a-half traumatic weeks, the Uvalde community will say goodbye to the 19 children and two teachers killed in a mass shooting.",2022-05-31
115,1 Dead After Crashing Into Miami Pond Teeming With Alligators,Police snipers guarded the pond during a tense rescue attempt.,2022-05-31
116,"Netflix Co-CEO Backs Dave Chappelle, Says Programs Are 'Not Going To Be For Everybody'",The streaming giant has faced backlash due to comedians' transphobic comments in recent specials.,2022-05-29
117,Oregon Man Parts Ways With Guns In Viral Change Of Heart,"The man said he hopes the U.S. ""wakes up"" and addresses gun violence in a plea on TikTok.",2022-05-28
118,Boy Whose Body Was Found In Suitcase Died Of Electrolyte Imbalance,Police say an autopsy for a young boy found dead in a suitcase in southern Indiana showed he died from an electrolyte imbalance.,2022-05-28
119,Brother Of Boy Killed In Uvalde Shooting Blasts Police Response As 'Selfish',"“They’re here to protect our community, and they didn’t.""",2022-05-28
120,Pebbles The Toy Fox Terrier Fetches 'Oldest Living Dog' Title In Tiny Canine Showdown,"Pebbles, 22, has snatched the Guinness world record from the jaws of a 21-year-old Chihuahua named TobyKeith.",2022-05-27
121,Chihuahua Puppy In Recovery After Being Shot Through The Neck With Arrow,"A startling photo shows the dog with an arrow sticking out of both sides of her neck, where it somehow missed vital arteries.",2022-05-26
122,Parents Plead For Uvalde Cops To Rescue Trapped Kids In Heart-Wrenching Video,Law enforcement officers are facing scrutiny over whether they could have saved more people by rushing into Robb Elementary School sooner.,2022-05-26
123,Toddler Who Pulled Off Cheeseburger 'Heist' Gets Hero's Reception On Twitter,"""It hurts to see other people living your dreams,"" one user wrote.",2022-05-24
124,Trevor Reed: U.S. Should Do 'Absolutely Everything' To Release Americans Held Illegally,"“We need to do absolutely everything we can as Americans,"" Reed, a former U.S. Marine who was imprisoned in Russia, told CNN.",2022-05-23
125,NYC Mayor Eric Adams Declares State Of Emergency Over Baby Formula Shortage,Adams signed an executive order that will allow New York City to prevent price gouging on baby formula.,2022-05-22
126,Biden Says Monkeypox Cases Something To 'Be Concerned About',"Monkeypox is rarely identified outside of Africa, but as of Friday, there were 80 confirmed cases worldwide, including at least two in the U.S., and another 50 suspected ones.",2022-05-22
127,"78,000 Pounds Of Infant Formula Arrives In US From Europe",The Air Force flew pallets of baby formula to Indiana to begin alleviating the devastating nationwide shortage.,2022-05-22
128,145 Beagles In 'Acute Distress' Seized From Massive Breeding Facility: Lawsuit,Feds are suing a company that breeds dogs for research over egregious animal welfare violations,2022-05-21
129,Dog On The Mend After Rescuing Owner From Mountain Lion,"After a harrowing journey to the vet, the Belgian Malinois survived the ordeal.",2022-05-19
130,Security Guard 'Went Down Fighting' While Taking On Buffalo Mass Shooter: Police,"“He went towards the gunfire, he went towards the fight,"" an official said of former police officer Aaron Salter Jr., who exchanged gunfire with the supermarket shooter.",2022-05-15
131,K-9 Featured In Netflix's 'Rescued By Ruby' Euthanized,A Rhode Island dog whose inspiring story of going from shelter dog to life-saving police K-9 became the subject of a recent Netflix movie has been euthanized.,2022-05-15
132,Joe Biden Co-Hosting 2nd COVID Summit As World's Resolve Falters,"Momentum on vaccinations and treatments has faded even as new, more infectious variants rise and billions across the globe remain unprotected.",2022-05-12
133,COVID-19 Cases Rise While Few School Mask Mandates Return,"U.S. coronavirus cases are up, leading a smattering of school districts, especially in the Northeast, to bring back mask recommendations and requirements.",2022-05-11
134,Mario Batali Acquitted Of Sexual Misconduct,The celebrity chef was cleared by a judge following a criminal trial in Boston.,2022-05-10
135,"Lincoln College, Battered By COVID And Cyberattack, To Close This Week","The 157-year-old college in Illinois said a ""miracle donation"" failed to arrive.",2022-05-10
136,New York Gov. Kathy Hochul Tests Positive For COVID-19 Amid State's Rising Cases,"New York Gov. Kathy Hochul says she tested positive for COVID-19 on Sunday, and will isolate and work remotely this week.",2022-05-09
137,"Internet Providers To Offer Discount For Poor, Says White House",An already existing federal subsidy could make tens of millions of households eligible for free service.,2022-05-09
138,Dallas Cowboys Owner Jerry Jones 'Home And Fine' After Reported Crash,"NFL owner Jones, 79, was reportedly involved in a crash Wednesday night near downtown Dallas and taken to hospital as a precaution.",2022-05-07
139,Unprecedented Gusts Expected To Fan Wildfires In New Mexico,Thousands of residents have evacuated due to flames that have charred large swaths of the Sangre de Cristo Mountains in northeastern New Mexico.,2022-05-07
140,"Tennessee Pauses Executions, Will Review Lethal Injections",A federal public defender praised Republican Gov. Bill Lee for his “great leadership” for launching the review.,2022-05-02
141,U.S. Pediatricians' Group Moves To Abandon Race-Based Guidance,The American Academy of Pediatrics says it is putting all its guidance under the microscope to eliminate “race-based” medicine and resulting health disparities.,2022-05-02
142,"Ford Recalls More Than 250,000 SUVs That Can Roll Away While In Park",Documents posted by U.S. safety regulators say that a rear axle mounting bolt can fracture and cause the driveshaft to disconnect.,2022-04-29
143,"FDA Plans To Ban Menthol Cigarettes, Flavored Cigars",Menthols have taken a disproportionate toll on Black smokers.,2022-04-28
144,2 Wealthy Parents Appeal College Bribery Case Convictions,Lawyers for John Wilson and Gamal Abdelaziz argued they were no different than other wealthy parents who make donations to get a boost in the admissions process.,2022-04-26
145,Supreme Court Hears Arguments Over 'Remain In Mexico' Policy For Asylum-Seekers,"Texas and Missouri, which sued to keep the program in place, said it has helped reduce the flow of people into the U.S. at the southern border.",2022-04-26
146,Video Captures Florida Deputy Climbing Building To Save Baby From Fire,"“We saw the building fully engulfed. It was chaos everywhere,"" Deputy William Puzynski told WKMG.",2022-04-25
147,Emergency Declaration For Multiple Wildfires In New Mexico,New Mexico Gov. Michelle Lujan Grisham has signed emergency declarations as 20 wildfires continued to burn Sunday in nearly half of the state’s 33 counties.,2022-04-24
148,"Philadelphia To End Mask Mandate, Days After Reinstating It",The city is reversing course on the indoor masking rule despite a sudden rise in infections.,2022-04-22
149,"Fire Training, Equipment Lacking At U.S. Nuclear Dump: Report",Independent federal investigators say there are significant issues related to fire training at the U.S. government’s nuclear waste repository in New Mexico.,2022-04-22
150,American Man Sentenced To Death In China For Killing Ex-Girlfriend,Shadeed Abdulmateen fatally stabbed a 21-year-old woman who tried to break off their relationship.,2022-04-22
151,Southwest Fire Crews Brace For Return Of Dangerous Winds,"More than 500 firefighters were manning fire lines in Arizona and New Mexico Friday, and more help was on the way.",2022-04-22
152,Supreme Court Revives Fight Over Painting Stolen By Nazis,"The painting, by French impressionist Camille Pissarro, of a Paris street with horse-drawn carriages and a fountain is now worth tens of millions of dollars.",2022-04-21
153,"This Earth Day, Biden Faces 'Headwinds' On Climate Agenda","President Joe Biden plans to mark Earth Day in Seattle on Friday, but he's struggled to make progress on a sweeping environmental agenda.",2022-04-21
154,13 Nassar Victims Seeking $130 Million From FBI Over Bungled Probe,Thirteen sexual assault victims are seeking $10 million each from the FBI.,2022-04-21
155,Number Of People Trying To Cross Border Increases As U.S. Plans To Lift Curb On Asylum,The U.S. is preparing for even larger numbers with the expected lifting of a pandemic-era order that turned away asylum seekers.,2022-04-19
156,Supreme Court Won't Hear New York City Teacher Vaccine Dispute,The Supreme Court is declining to wade into a lawsuit filed by four New York City public school employees over a policy that they be vaccinated against COVID-19.,2022-04-18
157,Man Accused Of Stuffing Grandmother In Freezer To Die,"Police arrested Robert Keith Tincher III, of Georgia, saying that he killed his grandmother by forcing her into a freezer while she was alive.",2022-04-16
158,Trial Opens In Florida Opioid Lawsuit Case Against Walgreens,"Walgreens is based in Deerfield, Illinois, and operates more than 9,000 stores in all 50 states.",2022-04-11
159,3 Killed At Georgia Shooting Range,The owner of the gun range was killed along with his wife and grandson.,2022-04-09
160,Florida Free-Fall Ride Deemed ‘Danger To Public Health' By Officials After Death,The 430-foot Orlando FreeFall ride was ordered closed shortly after 14-year-old Tyre Sampson fell to his death on March 24.,2022-04-07
161,"Betty Reid Soskin, Oldest National Park Service Ranger, Retires At 100","The devoted park ranger said she's enjoyed being a ""primary source"" of history at California's Rosie the Riveter/WWII Home Front National Historical Park.",2022-04-01
162,Alex Jones Faces Fines For Skipping Sandy Hook Deposition,"The penalties will begin at $25,000 per weekday beginning Friday and increase by $25,000 per weekday until he appears for a deposition,",2022-03-31
163,FDA Authorizes Second COVID Booster For Those 50 And Older,"This fourth coronavirus vaccine dose would be optional, and federal health officials aren't currently recommending it for everyone in this age group.",2022-03-29
